,8월,요일.1,로그인 고객수.1,전일比,"방문자고유ID
(중복제거,
고객번호없음).1",합계.1,전일比.1
0,20230801,화,45827,45827,9149,54976,54976
1,20230802,수,74997,29170,16664,91661,36685
2,20230803,목,101284,26287,23897,125181,33520
3,20230804,금,125118,23834,30696,155814,30633
4,20230805,토,139256,14138,34893,174149,18335
5,20230806,일,150616,11360,38486,189102,14953
6,20230807,월,176867,26251,46262,223129,34027
7,20230808,화,200818,23951,54567,255385,32256
8,20230809,수,222395,21577,62280,284675,29290
9,20230810,목,245044,22649,69762,314806,30131
10,20230811,금,264627,19583,76953,341580,26774
11,20230812,토,276233,11606,81561,357794,16214
12,20230813,일,285485,9252,85396,370881,13087
13,20230814,월,305660,20175,93203,398863,27982
14,20230815,화,316616,10956,97629,414245,15382
15,20230816,수,336434,19818,105293,441727,27482
16,20230817,목,354971,18537,112613,467584,25857
17,20230818,금,372092,17121,119523,491615,24031
18,20230819,토,382093,10001,123756,505849,14234
19,20230820,일,390126,8033,127174,517300,11451
20,20230821,월,410506,20380,134427,544933,27633
21,20230822,화,427690,17184,141790,569480,24547
22,20230823,수,444171,16481,149387,593558,24078
23,20230824,목,459749,15578,156927,616676,23118
24,20230825,금,477191,17442,165017,642208,25532
25,20230826,토,486490,9299,169596,656086,13878
26,20230827,일,494151,7661,173539,667690,11604
27,20230828,월,511340,17189,181811,693151,25461
28,20230829,화,528076,16736,189816,717892,24741
29,20230830,수,544060,15984,197317,741377,23485
30,20230831,목,561240,17180,205493,766733,25356
